index,text,image,group,group_match,text_status,image_status,group_status,group_match_status,group_match_margin,id,tag
0,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.009478002786636353,0,Relation
1,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.009205877780914307,1,Relation
2,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.0062379539012908936,2,Relation
3,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.05200417339801788,3,Object
4,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.001965731382369995,4,Relation
5,0.0,1.0,0.0,1.0,incorrecto,correcto,incorrecto,correcto,0.011289358139038086,5,Object
6,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0023196041584014893,6,Object
7,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.02131757140159607,7,Object
8,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.037887781858444214,8,Object
9,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.05247688293457031,9,Object
10,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0004519522190093994,10,Object
11,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.02494928240776062,11,Object
12,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.009933948516845703,12,Object
13,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.007865071296691895,13,Object
14,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.023645788431167603,14,Object
15,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.009773850440979004,15,Object
16,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.00933694839477539,16,Object
17,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.0036062300205230713,17,Object
18,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0010234266519546509,18,Object
19,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.006140530109405518,19,Object
20,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.005354851484298706,20,Relation
21,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.001473069190979004,21,Relation
22,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0012035965919494629,22,Relation
23,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.00655016303062439,23,Relation
24,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.00646914541721344,24,Relation
25,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.013158336281776428,25,Relation
26,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0006532967090606689,26,Relation
27,0.0,1.0,0.0,1.0,incorrecto,correcto,incorrecto,correcto,0.010754942893981934,27,Relation
28,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.007170289754867554,28,Relation
29,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.12850424647331238,29,Relation
30,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.03129780292510986,30,Relation
31,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0008609592914581299,31,Relation
32,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.010206431150436401,32,Relation
33,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.040055274963378906,33,Relation
34,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.006979942321777344,34,Relation
35,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.005413949489593506,35,Relation
36,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.01088610291481018,36,Relation
37,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.017717838287353516,37,Relation
38,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.007381543517112732,38,Relation
39,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0272274911403656,39,Relation
40,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.0033199042081832886,40,Relation
41,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0006995797157287598,41,Relation
42,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.006385937333106995,42,Relation
43,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.002340644598007202,43,Relation
44,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0033432841300964355,44,Relation
45,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.1634645164012909,45,Relation
46,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.009750857949256897,46,Relation
47,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0035239756107330322,47,Relation
48,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0027830153703689575,48,Relation
49,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.005646049976348877,49,Object
50,0.0,1.0,0.0,1.0,incorrecto,correcto,incorrecto,correcto,0.00011807680130004883,50,Relation
51,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.03058740496635437,51,Relation
52,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.03033071756362915,52,Relation
53,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.007282435894012451,53,Relation
54,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.007479608058929443,54,Relation
55,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.00976322591304779,55,Relation
56,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0020034611225128174,56,Relation
57,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0022348910570144653,57,Relation
58,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.005456134676933289,58,Relation
59,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0020162761211395264,59,Relation
60,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.00018571317195892334,60,Relation
61,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.012360736727714539,61,Relation
62,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.010156527161598206,62,Relation
63,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0003769993782043457,63,Relation
64,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.004832997918128967,64,Relation
65,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.008219704031944275,65,Relation
66,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.005660876631736755,66,Relation
67,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0005729943513870239,67,Relation
68,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.009044215083122253,68,Object
69,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.013554856181144714,69,Object
70,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0006029456853866577,70,Relation
71,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.012074634432792664,71,Relation
72,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.11637404561042786,72,Object
73,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.1708238571882248,73,Both
74,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.17280824482440948,74,Both
75,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0024626851081848145,75,Relation
76,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0014428496360778809,76,Relation
77,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.01406852900981903,77,Relation
78,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.03518021106719971,78,Relation
79,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.013528496026992798,79,Relation
80,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.002123028039932251,80,Object
81,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.022511959075927734,81,Object
82,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.003601565957069397,82,Relation
83,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0014980286359786987,83,Relation
84,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0011062324047088623,84,Object
85,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.002393007278442383,85,Relation
86,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.003630399703979492,86,Both
87,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.011156588792800903,87,Relation
88,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.04861724376678467,88,Object
89,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.012271657586097717,89,Relation
90,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.08096717298030853,90,Object
91,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.14685338735580444,91,Object
92,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.005067765712738037,92,Relation
93,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.028710074722766876,93,Relation
94,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.001132577657699585,94,Relation
95,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.04800298810005188,95,Both
96,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0011863410472869873,96,Both
97,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.017342790961265564,97,Relation
98,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.03932289779186249,98,Both
99,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.002329200506210327,99,Relation
100,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.021274253726005554,100,Relation
101,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.018707334995269775,101,Relation
102,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.010013565421104431,102,Relation
103,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.002593398094177246,103,Relation
104,1.0,1.0,1.0,1.0,correcto,correcto,correcto,correcto,0.013713926076889038,104,Relation
105,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.0008784830570220947,105,Relation
106,0.0,0.0,0.0,1.0,incorrecto,incorrecto,incorrecto,correcto,0.0037059932947158813,106,Relation
107,0.0,0.0,0.0,0.0,incorrecto,incorrecto,incorrecto,incorrecto,-0.008604198694229126,107,Relation
108,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.037621691823005676,108,Relation
109,1.0,0.0,0.0,1.0,correcto,incorrecto,incorrecto,correcto,0.008440300822257996,109,Relation
